STATE_CODE,COUNTY_CODE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
5,11,1521.41,1552.14,1549.54,1515.4,1524.34,1530.16,1528.49,1540.42,1540.96,,1554.74,1518.64,1517,1535.27,1530.2,1530.24,1529.776,1527.548,2124.436,2124.436,2125.94
5,13,2380.35,2372.99,2208.6,2208.6,2203.46,2203.46,2203.46,2198.98,2208.02,,2211.71,2240.23,2244.91,2245.26,2245.14,2245.14,2244.273,2233.325,2576.967,2589.713,2610.373
5,15,2980.63,2994.63,2994.63,2994.63,2996.17,2994.44,2995.29,2997.26,3004.15,,3006.78,3013.74,3018.01,3093.41,3091.47,3091.47,3090.643,3085.349,2859.931,2874.305,2874.205
5,17,2394.5,2394.5,2002.76,2032.9,2011.71,2010.99,2012.19,2000.59,2016.71,,2010.66,2017.58,2019.88,2020.62,2028.86,2029.42,2029.43,2028.314,1537.376,1537.444,1537.614
5,19,2399.55,2446.65,2447.63,2447.63,2447.63,2447.63,2447.45,2447.57,2453.74,,2435.44,2441.29,2436.93,2520.84,2523.03,2523.01,2521.728,2521.266,2943.422,3025.63,2996.408
5,21,2396.91,2396.21,2383.81,2383.81,2383.81,2384.88,2386.84,2386.84,2386.84,,2385.68,2384.48,2384.6,2386.58,2383.58,2383.58,2383.141,2382.473,2403.437,2403.483,2403.464
5,23,2710.17,2786.35,2787.22,2787.22,2787.22,2788.58,2790.29,2788.94,2789.95,,2791.88,2790.71,2790.51,2814.21,2810.99,2806.85,2808.452,2802.198,2225.667,2225.755,2225.627
5,25,1472.2,1476.58,1476.58,1476.58,1476.58,1476.58,1485.67,1485.55,1485.55,,1484.08,1484.87,1501.99,1525.86,1525.64,1525.18,1530.814,1530.518,1847.054,1847.048,1847.574
5,27,2553.01,2553.01,2553.01,2553.01,2552.63,2552.63,2567.17,2567.17,2566.39,,2567.95,2563.36,2564.66,2611.52,2605.8,2605.36,2604.72,2599.806,2714.959,2249.285,2260.043
5,29,2208.17,2214.43,2216.1,2216.1,2216.1,2220,2218.44,2218.2,2216.81,,2214.53,2213.41,2210.91,2269.17,2271.33,2271.22,2268.067,2270.559,1891.397,1891.397,1893.139
5,31,3851.94,3857.88,3858.99,3858.52,3890.98,3942.98,3952.17,3961.23,4004.32,,3992.06,3992.01,4008.74,4276,4218.24,4233.9,4278.684,4270.476,4081.437,3989.345,3989.705
5,33,2544.63,2548.85,2563.04,2569.74,2571.14,2573.04,2580.2,2580.4,2582.59,,2646.52,2628.03,2623.51,2749.65,2740.33,2740.33,2745.068,2742.266,3083.678,2660.498,2660.378
5,35,2710.46,2695.4,2700.76,2699.76,2700.18,2709.12,2718.78,2722.64,2738.94,,2737.94,2733.88,2728.35,2823.48,2810.24,2808.64,2811.411,2807.903,2586.669,2440.837,2451.353
5,37,2321.45,2321.27,2325.99,2324.99,2324.99,2330.96,2348.01,2347.05,2343.74,,2352.37,2352.62,2356.51,2387.5,2383.46,2383.44,2383.745,2383.719,1919.097,1919.097,1918.913
5,39,1680.57,1680.57,1683.5,1683.5,1683.5,1683.5,1685.39,1685.39,1703.75,,1706.77,1702.85,1710.88,1711.79,1709.12,1701.16,1720.83,1719.29,1895.648,1895.648,1895.672
5,41,2379.98,2404.86,2280.63,2280.63,2295.23,2296.95,2316.56,2316,2316.26,,2327.79,2329.55,2329.55,2380.9,2360.3,2360.3,2359.324,2345.842,1574.734,1512.054,1511.994
5,43,1843.98,1848.42,1858.72,1858.72,1877.34,1877.55,1887.61,1888.01,1898.81,,1906.42,1932.88,1932.34,2008.9,1990.63,1980.63,1981.687,1981.179,2724.265,2724.239,2749.145
5,45,3629.85,3637.13,3639.19,3639.19,3644.63,3656.73,3656.73,3656.81,3682.32,,3687.39,3726.48,3734.43,3918.9,3955.74,3958.12,3956.565,3970.075,3771.065,3656.533,3660.779
5,47,2115.07,2123.07,2073.46,2136.84,2136.84,2136.84,2137.56,2137.56,2164.49,,2213.13,2214.73,2215.21,2221.5,2214.33,2214.33,2213.49,2211.448,2136.508,2136.726,2138.292
5,49,2301.71,2305.27,2306.45,2306.45,2331.07,2332.58,2348.75,2351.05,2342.66,,2317.77,2316.72,2318.41,2320.18,2322.26,2322.24,2321.884,2320.482,2441.664,2445.464,2448.799
