state,fips state code,tribal name,data category,emissions type code,scc,reporting period,emissions operating type,pollutant code,pollutant desc,total emissions,emissions uom,data set
,,Kootenai Tribe of Idaho,ON,,2202540080,A,R,540841,"2,2,4-Trimethylpentane",.00351578,LB,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2202540080,A,R,100414,Ethyl Benzene,.00502452,LB,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2202510080,A,R,NH3,Ammonia,.0000634439,TON,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2203420080,A,R,71432,Benzene,0,LB,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2202310080,A,R,106990,"1,3-Butadiene",.946082,LB,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2202310080,A,R,75070,Acetaldehyde,11.95876,LB,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2202310080,A,R,SO2,Sulfur Dioxide,.000899771,TON,2014NEIV2
,,Kootenai Tribe of Idaho,ON,,2202610080,A,R,50000,Formaldehyde,2.53074,LB,2014NEIV2
,,Nez Perce Tribe of Idaho,ON,,2201110080,A,R,123386,Propionaldehyde,2.98274,LB,2014NEIV2
,,Nez Perce Tribe of Idaho,ON,,2202540080,A,R,7439965,Manganese,.001103984,LB,2014NEIV2
