fips code,total emissions,YEAR
21185,397991.35393687896,2017
21187,46856.6664253654,2017
21189,22221.30502310391,2017
21191,54275.8134824228,2017
21193,159273.779352921,2017
21195,346637.3158787127,2017
21197,90819.9086667862,2017
21199,386825.85050303,2017
21201,7646.182862070154,2017
21203,350518.6949630761,2017
21205,207537.9893066326,2017
21207,80069.6545162275,2017
21209,530439.9950837478,2017
21211,511509.28770479903,2017
21213,270994.6628427794,2017
21215,71683.23940059445,2017
21217,125286.4624946297,2017
21219,60617.96294135566,2017
21221,132621.7986354352,2017
21223,44795.3498509462,2017
21225,67466.2976948589,2017
21227,992439.401024994,2017
21229,84050.96876250517,2017
21231,92914.28072787866,2017
21233,88676.6301226855,2017
21235,416310.90983663703,2017
21237,54048.20665125769,2017
21239,255296.1112723318,2017
28001,194760.1555449669,2017
28003,258546.81882682224,2017
28005,87904.57947765906,2017
28007,118589.99774006121,2017
28009,114392.47100690048,2017
28011,213424.1268746257,2017
28013,94975.6522472366,2017
28015,151327.20742841193,2017
28017,135255.68834711844,2017
28019,54587.166561381404,2017
28021,65764.58997896168,2017
28023,156007.8403643025,2017
28025,126940.3329375086,2017
28027,158095.97891389366,2017
28029,316151.2027908631,2017
28031,238907.3699167633,2017
28033,1189879.492846463,2017
28035,600013.229637204,2017
28037,76684.827319583,2017
28039,154638.98867818151,2017
28041,89775.89204049033,2017
28043,204643.3260928198,2017
28045,506672.75829320203,2017
28047,1568907.5186028962,2017
28049,1960674.6649795002,2017
28051,221994.16698747777,2017
28053,64138.531043997995,2017
28055,13113.625255223178,2017
28057,223276.628920339,2017
28059,1245934.624636143,2017
28061,165379.31981228793,2017
28063,58400.606497448716,2017
28065,76119.12512815346,2017
28067,588726.6351501365,2017
