YEAR,STATE_CODE,COUNTY_CODE,F_SYSTEM,"AVMT (1,000)",VMT_TOTAL
2000,6,41,14,"291,378",291377849.9
2000,6,43,2,"71,763",71762758.63
2000,6,45,2,"393,125",393124516.2
2000,6,45,12,"40,098",40097944.35
2000,6,45,14,"13,636",13635630.85
2000,6,47,1,"308,356",308356191
2000,6,47,2,"655,639",655639381.7
2000,6,47,12,"211,410",211410389.1
2000,6,47,14,"205,555",205555168.7
2000,6,49,2,"64,467",64466642.32
2000,6,51,2,"196,763",196763086.7
2000,6,53,2,"1,173,629",1173629049
2000,6,53,12,"493,431",493430873.3
2000,6,53,14,"477,420",477420402.8
2000,6,55,1,"43,394",43394156.82
2000,6,55,2,"92,049",92048595.94
2000,6,55,12,"150,579",150579497.8
2000,6,55,14,"125,037",125036625.4
2000,6,57,1,"328,397",328396536
2000,6,57,2,"229,832",229831824.6
2000,6,57,12,"59,819",59819303.89
2000,6,57,14,"5,886",5885688.456
2000,6,59,11,"6,244,167",6244166565
2000,6,59,12,"5,290,349",5290348800
2000,6,59,14,"6,901,995",6901994639
2000,6,61,1,"757,304",757304166.2
2000,6,61,2,"68,341",68340529.06
2000,6,61,11,"473,915",473915244.9
2000,6,61,12,"45,528",45527705.14
2000,6,61,14,"242,945",242945487.5
2000,6,65,1,"1,961,353",1961353164
2000,6,65,2,"392,922",392921571.8
2000,6,65,11,"2,795,784",2795783761
2000,6,65,12,"2,205,593",2205592793
2000,6,65,14,"1,467,807",1467806760
2000,6,67,1,"359,202",359202020.3
2000,6,67,2,"245,792",245792172.9
2000,6,67,11,"1,776,946",1776946282
2000,6,67,12,"2,366,994",2366994257
2000,6,67,14,"2,598,461",2598460506
2000,6,69,2,"298,955",298955187.1
2000,6,69,14,"41,474",41473887.68
2000,6,71,1,"2,899,409",2899408538
2000,6,71,2,"568,707",568706604.2
2000,6,71,11,"4,178,364",4178364287
2000,6,71,12,"1,143,090",1143090461
2000,6,71,14,"2,311,449",2311448960
2000,6,73,1,"1,525,012",1525012241
2000,6,73,2,"118,227",118227234.9
2000,6,73,11,"9,104,577",9104576580
2000,6,73,12,"3,325,682",3325681674
2000,6,73,14,"2,609,159",2609159103
2000,6,75,11,"587,513",587513434.8
2000,6,75,12,"744,554",744554003.1
2000,6,75,14,"1,138,661",1138660673
2000,6,77,1,"786,368",786367675.3
2000,6,77,2,"737,503",737502776
2000,6,77,11,"770,960",770959741.1
2000,6,77,12,"702,702",702702338.3
2000,6,77,14,"888,318",888318105.9
2000,6,79,2,"684,884",684883956.6
2000,6,79,12,"591,394",591393646.4
2000,6,79,14,"153,784",153784447.8
2000,6,81,1,"191,649",191648690.2
2000,6,81,11,"1,195,806",1195806331
2000,6,81,12,"2,718,548",2718548171
2000,6,81,14,"780,621",780620789.8
2000,6,83,2,"617,219",617219416
2000,6,83,12,"1,053,757",1053757392
2000,6,83,14,"479,208",479208460.3
2000,6,85,1,"68,303",68302566.08
2000,6,85,2,"488,699",488698507.2
2000,6,85,11,"2,401,881",2401881471
2000,6,85,12,"3,767,499",3767499228
2000,6,85,14,"3,987,305",3987304582
2000,6,87,2,"164,511",164511227.4
2000,6,87,12,"554,033",554033073.9
2000,6,87,14,"226,969",226969065.6
2000,6,89,1,"279,967",279966770.7
2000,6,89,2,"157,813",157813247.7
2000,6,89,11,"293,482",293481508.5
2000,6,89,12,"155,923",155922841.6
2000,6,89,14,"82,985",82985111.02
2000,6,91,1,"16,522",16521547.81
2000,6,91,2,"6,802",6801533.55
2000,6,93,1,"338,114",338113834.5
2000,6,93,2,"114,622",114622160.9
2000,6,93,11,"23,654",23653663.9
2000,6,93,14,"15,131",15131351.71
2000,6,95,1,"771,967",771967415.2
2000,6,95,2,"155,587",155587068.5
2000,6,95,11,"1,751,837",1751836572
2000,6,95,12,"149,014",149014330.3
2000,6,95,14,"374,032",374032395.9
2000,6,97,2,"394,878",394877745.9
2000,6,97,12,"885,209",885208940.3
2000,6,97,14,"387,244",387244214.9
2000,6,99,1,"270,767",270767374.3
2000,6,99,2,"205,068",205067805.3
2000,6,99,12,"578,595",578594599
2000,6,99,14,"553,331",553330963.6
2000,6,101,2,"231,790",231790307.5
2000,6,101,12,"59,346",59346401.51
2000,6,101,14,"28,890",28890410.57
2000,6,103,1,"324,048",324048029.2
2000,6,103,2,"84,128",84127744.35
2000,6,103,11,"70,129",70128556.55
2000,6,103,12,"11,739",11739465.74
2000,6,103,14,"11,975",11974815.82
2000,6,105,2,"68,035",68034573.92
2000,6,107,2,"793,242",793242026.8
2000,6,107,12,"376,345",376344743.3
2000,6,107,14,"261,655",261654869.5
2000,6,109,2,"106,758",106758056.1
2000,6,111,2,"691,382",691381656.4
2000,6,111,12,"2,338,784",2338783562
2000,6,111,14,"1,414,744",1414743590
2000,6,113,1,"613,541",613540519.8
2000,6,113,2,"56,651",56650920.94
2000,6,113,11,"359,800",359799672
2000,6,113,12,"30,205",30204805.51
2000,6,113,14,"109,691",109690811.6
2000,6,115,2,"123,839",123838990.7
2000,6,115,12,"91,465",91464865.46
2000,6,115,14,"40,280",40279825.85
2000,8,1,1,"114,187",114186949.2
2000,8,1,2,"3,261",3260730.6
2000,8,1,11,"1,056,301",1056301474
2000,8,1,12,"258,117",258116972.6
2000,8,1,14,"847,834",847834249.3
2000,8,3,2,"83,792",83792497.5
2000,8,3,14,"28,720",28720195.68
2000,8,5,1,"132,662",132661783.7
2000,8,5,11,"580,090",580090367.8
2000,8,5,12,"342,426",342426247.4
2000,8,5,14,"1,421,180",1421180353
2000,8,7,2,"85,731",85730921.34
2000,8,9,2,"48,955",48955062
2000,8,11,2,"59,078",59077820.46
2000,8,13,2,"273,256",273255702.5
2000,8,13,12,"371,661",371660782.9
2000,8,13,14,"497,961",497961311
2000,8,15,2,"102,683",102682646.9
2000,8,17,2,"49,874",49874109.96
2000,8,19,1,"369,686",369685887.2
2000,8,19,2,"27,677",27677355.54
2000,8,21,2,"40,892",40891814.82
2000,8,23,2,"40,901",40900510.98
2000,8,29,2,"76,923",76922886.12
2000,8,31,11,"1,673,672",1673672385
2000,8,31,12,"585,909",585908783.2
2000,8,31,14,"1,504,620",1504620074
2000,8,33,2,"23,502",23501654.22
2000,8,35,1,"486,908",486907690.1
2000,8,35,2,"71,962",71961558.48
2000,8,35,11,"171,524",171524048
2000,8,35,12,"325,711",325710811.5
2000,8,35,14,"153,821",153821429.6
2000,8,37,1,"431,983",431982549.5
2000,8,37,2,"44,701",44700948.84
2000,8,39,1,"99,200",99199801.86
2000,8,39,2,"21,614",21613968.96
2000,8,41,1,"387,704",387703730.5
2000,8,41,2,"186,626",186625655.3
2000,8,41,11,"503,710",503710054.7
2000,8,41,12,"416,404",416403807.1
2000,8,41,14,"882,881",882881274.7
2000,8,43,2,"135,505",135505193.8
2000,8,43,12,"17,114",17114075.82
2000,8,43,14,"19,713",19713382.2
2000,8,45,1,"290,971",290971043.1
2000,8,45,2,"86,441",86441378.58
2000,8,45,11,"36,930",36929959.98
2000,8,45,14,"33,059",33058865.82
2000,8,49,2,"181,829",181828649.9
2000,8,51,2,"97,528",97528312.8
2000,8,55,1,"98,178",98178134.82
2000,8,55,2,"44,233",44232549.36
2000,8,57,2,"2,969",2968992
2000,8,59,1,"202,453",202452775.6
2000,8,59,2,"194,013",194013031.5
2000,8,59,11,"416,548",416548058.7
2000,8,59,12,"948,080",948079929.1
2000,8,59,14,"1,099,986",1099986459
2000,8,61,2,"30,963",30963453.6
2000,8,63,1,"184,934",184933735.4
2000,8,63,2,"15,972",15972412.02
2000,8,67,2,"189,025",189025000.5
2000,8,67,14,"109,699",109698533.8
2000,8,69,1,"294,706",294706186.6
2000,8,69,2,"237,156",237156493
2000,8,69,11,"125,313",125313162.5
2000,8,69,12,"33,382",33381600.96
2000,8,69,14,"369,866",369866277.6
2000,8,71,1,"104,293",104292739.4
2000,8,71,11,"15,520",15519874.98
2000,8,71,14,"3,914",3913659.96
2000,8,73,1,"92,614",92613723.36
2000,8,73,2,"30,265",30264583.92
2000,8,75,1,"114,384",114383520.5
2000,8,75,11,"5,236",5235578.76
2000,8,75,14,"24,897",24897395.22
2000,8,77,1,"200,256",200256369.3
2000,8,77,2,"49,911",49911226.02
2000,8,77,11,"58,477",58477408.44
2000,8,77,14,"284,092",284091791.3
2000,8,79,2,"26,124",26123974.68
2000,8,81,2,"35,856",35856317.28
2000,8,81,14,"19,613",19612827.36
2000,8,83,2,"136,984",136983716.7
2000,8,83,14,"49,335",49335277.44
2000,8,85,2,"89,422",89421540.9
2000,8,85,14,"64,647",64647269.54
2000,8,87,1,"126,440",126439937.5
2000,8,87,2,"17,308",17307975.3
2000,8,87,11,"17,201",17201231.4
2000,8,87,14,"8,858",8858276.04
2000,8,89,2,"85,217",85216899.96
2000,8,89,14,"19,428",19428136.44
2000,8,91,2,"61,516",61515534.18
2000,8,93,2,"102,398",102397906.2
2000,8,95,2,"7,207",7207008.48
2000,8,97,2,"92,200",92200414.2
2000,8,97,14,"13,112",13112129.34
2000,8,99,2,"87,426",87425669.7
2000,8,99,14,"14,194",14193911.88
2000,8,101,1,"229,074",229073814.8
2000,8,101,2,"128,212",128211666.6
2000,8,101,11,"132,933",132932642
2000,8,101,12,"138,497",138497141.3
2000,8,101,14,"172,552",172551593
2000,8,105,2,"99,177",99177377.04
2000,8,107,2,"78,535",78535280.82
2000,8,107,14,"39,225",39224725.08
2000,8,109,2,"61,018",61017580.2
2000,8,111,2,"29,057",29056520.4
2000,8,115,1,"53,328",53327722.56
2000,8,115,2,"3,448",3447624.84
2000,8,117,1,"214,261",214261172.6
2000,8,117,2,"63,216",63216219.06
2000,8,119,2,"70,765",70765287.48
2000,8,121,1,"30,323",30322924.32
2000,8,121,2,"40,699",40699254.9
2000,8,123,1,"654,847",654847390.3
2000,8,123,2,"238,735",238735109.5
2000,8,123,12,"152,317",152316631.6
2000,8,123,14,"155,128",155128459.5
2000,8,125,2,"62,252",62251801.74
2000,9,1,1,"79,187",79187394
2000,9,1,2,"230,937",230936850
2000,9,1,11,"2,165,748",2165747904
2000,9,1,12,"1,094,158",1094157732
2000,9,1,14,"806,642",806642406
2000,9,3,2,"250,504",250503576
2000,9,3,11,"2,693,503",2693502702
2000,9,3,12,"689,118",689117976
2000,9,3,14,"1,082,346",1082346180
2000,9,5,2,"267,627",267627252
2000,9,5,12,"108,003",108002574
2000,9,5,14,"217,370",217369596
2000,9,7,1,"274,015",274014684
2000,9,7,2,"226,745",226745418
2000,9,7,11,"239,700",239699988
2000,9,7,12,"210,862",210861750
2000,9,7,14,"130,992",130992132
2000,9,9,1,"539,282",539281602
