b'"ST","NAICS","ESTABF","ESTAB","RCPTOT_F","RCPTOT"
"02","56172",,729,,11414
"02","56173",,130,,2270
"02","56174","D",0,"D",0
"02","56179",,142,,2178
"02","5617-a",,1034,,16496
"02","5619",,122,,1549
"02","562",,39,,2842
"02","61",,844,,9578
"02","611",,844,,9578
"02","62",,4048,,87853
"02","621",,1446,,59565
"02","6211",,300,,25397
"02","62111",,300,,25397
"02","621111","D",0,"D",0
"02","621112","D",0,"D",0
"02","6212",,63,,3079
"02","62121",,63,,3079
"02","6213",,701,,23247
"02","62131",,58,,3311
"02","62132",,17,,1725
"02","62133",,159,,6003
"02","62134",,127,,3240
"02","62139",,340,,8968
"02","621391",,8,,276
"02","621399",,332,,8692
"02","6214","D",0,"D",0
"02","6215","D",0,"D",0
"02","62151","D",0,"D",0
"02","6216",,211,,3294
"02","62161",,211,,3294
"02","6219",,134,,3134
"02","623",,50,,1466
"02","624",,2552,,26822
"02","6241",,208,,2922
"02","6242","D",0,"D",0
"02","6243","D",0,"D",0
"02","62431","D",0,"D",0
"02","6244",,2297,,23298
"02","62441",,2297,,23298
"02","71",,2333,,40794
"02","711",,1576,,19435
"02","7111","D",0,"D",0
"02","7112",,174,,1596
"02","71121",,174,,1596
"02","7113",,44,,1261
"02","7114","D",0,"D",0
"02","71141","D",0,"D",0
"02","7115",,1271,,15350
"02","71151",,1271,,15350
"02","712",,14,,154
"02","7121",,14,,154
"02","713",,743,,21205
"02","7131",,19,,330
"02","7132",,11,,1914
"02","7139",,713,,18961
"02","72",,1504,,50859
"02","721",,1070,,31744
"02","7211",,738,,21440
"02","7212",,127,,7045
"02","72121",,127,,7045
"02","7213",,205,,3259
"02","72131",,205,,3259
"02","722",,434,,19115
"02","7221",,88,,5996
"02","72211",,88,,5996
"02","7222",,158,,8175
"02","72221",,158,,8175
"02","7223",,164,,3815
"02","7224",,24,,1129
"02","72241",,24,,1129
"02","81",,4882,,117074
"02","811",,1699,,58138
"02","8111",,647,,28642
"02","81111",,396,,17763
"02","81112",,170,,7869
"02","81119",,81,,3010
"02","8112",,128,,3720
"02","81121",,128,,3720
"02","8113",,284,,10922
"02","81131",,284,,10922
"02","8114",,640,,14854
"02","81141",,85,,2490
"02","81142","D",0,"D",0
"02","81143","D",0,"D",0
"02","81149",,493,,10476
"02","812",,2795,,53392
"02","8121",,865,,20182
"02","81211",,691,,17898
"02","812111","D",0,"D",0
"02","812112",,471,,12468
"02","812113","D",0,"D",0
"02","81219",,174,,2284
"02","8122","D",0,"D",0
"02","81221","D",0,"D",0
"02","81222","D",0,"D",0
"02","8123","D",0,"D",0
"02","81231","D",0,"D",0
