ST,CO,2016,2017,2018,2019,2020,average
8,97,0.708348549,0.698080575,0.708251081,0.714318221,0.713154385,0.708430562
8,99,0.802961839,0.805716149,0.80359547,0.791611085,0.79887606,0.800552121
8,101,0.697878821,0.695960023,0.699777526,0.70384292,0.697642816,0.699020421
8,103,0.281431106,0.293451558,0.309336121,0.29996217,0.297420119,0.296320215
8,105,0.832466742,0.829074356,0.816429656,0.820751296,0.818191189,0.823382648
8,107,0.524907584,0.525294564,0.533785969,0.53467799,0.555888614,0.534910944
8,109,0.790697843,0.801137235,0.812000681,0.819163763,0.815779819,0.807755868
8,111,0.994533592,0.992257011,0.992239425,0.992810149,0.992688767,0.992905789
8,113,0.717197924,0.73023264,0.715262644,0.657406491,0.66851441,0.697722822
8,115,0.863232208,0.862981735,0.86785987,0.862225796,0.875361606,0.866332243
8,117,0.653448332,0.653056491,0.656208687,0.656694605,0.641860253,0.652253674
8,119,0.446382101,0.435369199,0.428694978,0.430810395,0.44509805,0.437270945
8,121,0.735298352,0.742332117,0.74714244,0.732917641,0.736916957,0.738921501
8,123,0.69733867,0.695676516,0.69796857,0.688737975,0.683700987,0.692684544
8,125,0.704746025,0.701147582,0.703998054,0.709605002,0.720808781,0.708061089
9,1,0.694144318,0.691396945,0.6913656,0.693849877,0.702847736,0.694720895
9,3,0.670193978,0.670499756,0.673769515,0.671519299,0.674063393,0.672009188
9,5,0.523438735,0.520353407,0.516294493,0.517205947,0.522808907,0.520020298
9,7,0.682147308,0.687120731,0.69043752,0.697903992,0.695620694,0.690646049
9,9,0.707191311,0.705795558,0.70657289,0.708286355,0.701843383,0.705937899
9,11,0.667188947,0.663270306,0.663236842,0.662593179,0.66886671,0.665031197
9,13,0.651742107,0.651252796,0.652941572,0.652669948,0.710587266,0.663838738
9,15,0.53628196,0.545960457,0.547752586,0.550613763,0.540666841,0.544255121
10,1,0.488077868,0.485055939,0.484974672,0.490628138,0.485771771,0.486901678
10,3,0.749163635,0.751560559,0.740469156,0.744919926,0.745559537,0.746334563
10,5,0.573718575,0.576840926,0.571517068,0.567401481,0.559891544,0.569873919
11,1,0.565554396,0.564628339,0.577847499,0.570776379,0.569764273,0.569714177
11,2,0.565688337,0.565356569,0.562066898,0.56528275,0.584263505,0.568531612
11,3,0.491295852,0.495112268,0.523364366,0.501728569,0.535906625,0.509481536
11,4,0.835814761,0.839285981,0.797598304,0.793702576,0.794726415,0.812225607
11,5,0.950580435,0.958822944,0.956863051,0.959121006,0.960976596,0.957272806
12,1,0.65509196,0.645277478,0.660285106,0.655104664,0.646040976,0.652360037
12,3,0.61112239,0.60372672,0.601212525,0.606421871,0.55825693,0.596148087
12,5,0.606744789,0.613152256,0.613889394,0.615750358,0.617625031,0.613432366
12,7,0.493700809,0.491827227,0.481000102,0.480408117,0.514587371,0.492304725
12,9,0.747993916,0.746085309,0.736518669,0.744239699,0.73901536,0.742770591
12,11,0.700698741,0.696638223,0.6965289,0.702914673,0.726971381,0.704750384
12,13,0.376591403,0.380551075,0.382828178,0.396425904,0.39994622,0.387268556
12,15,0.504926915,0.48463053,0.489137256,0.490280115,0.485102591,0.490815481
12,17,0.542969916,0.539210444,0.529705294,0.526655987,0.516785922,0.531065513
12,19,0.57478885,0.574272971,0.573165666,0.56424887,0.569224713,0.571140214
