"st","naics","lfo","estab_f","estab","rcptot_n_f","rcptot_f","rcptot"
"01","44-45","-",,27372,"G",,1257118
"01","44-45","C",,1317,"G",,163591
"01","44-45","S",,25045,"G",,970723
"01","44-45","P",,1010,"G",,122804
"01","441","-",,3438,"G",,417521
"01","441","C",,261,"G",,47370
"01","441","S",,3021,"G",,340741
"01","441","P",,156,"G",,29410
"01","4411","-",,2164,"G",,307238
"01","4411","C",,140,"G",,26678
"01","4411","S",,1931,"G",,261379
"01","4411","P",,93,"G",,19181
"01","44112","-",,2164,"G",,307238
"01","44112","C",,140,"G",,26678
"01","44112","S",,1931,"G",,261379
"01","44112","P",,93,"G",,19181
"01","4412","-",,639,"G",,65805
"01","4412","C",,58,"G",,10490
"01","4412","S",,551,"G",,49450
"01","4412","P",,30,"G",,5865
"01","44121","-",,87,"G",,11405
"01","44121","C",,11,"H",,2769
"01","44121","S",,70,"G",,7834
"01","44121","P",,6,"H",,802
"01","44122","-",,552,"G",,54400
"01","44122","C",,47,"G",,7721
"01","44122","S",,481,"G",,41616
"01","44122","P",,24,"G",,5063
"01","441221","-",,73,"G",,5826
"01","441221","C",,5,"H",,176
"01","441221","S",,62,"G",,4906
"01","441221","P",,6,"H",,744
"01","441222","-",,57,"G",,7042
"01","441222","C",,7,"G",,1928
"01","441222","S",,45,"G",,2696
"01","441222","P",,5,"G",,2418
"01","441229","-",,422,"G",,41532
"01","441229","C",,35,"G",,5617
"01","441229","S",,374,"G",,34014
"01","441229","P",,13,"G",,1901
"01","4413","-",,635,"G",,44478
"01","4413","C",,63,"G",,10202
"01","4413","S",,539,"G",,29912
"01","4413","P",,33,"G",,4364
"01","442","-",,733,"G",,34366
"01","442","C",,81,"G",,9143
"01","442","S",,591,"G",,20143
"01","442","P",,61,"G",,5080
"01","4421","-",,278,"G",,13241
"01","4421","C",,28,"H",,3360
"01","4421","S",,224,"G",,7762
"01","4421","P",,26,"G",,2119
"01","44211","-",,278,"G",,13241
"01","44211","C",,28,"H",,3360
"01","44211","S",,224,"G",,7762
"01","44211","P",,26,"G",,2119
"01","4422","-",,455,"G",,21125
"01","4422","C",,53,"G",,5783
"01","4422","S",,367,"G",,12381
"01","4422","P",,35,"G",,2961
"01","443","-",,407,"G",,19891
"01","443","C",,48,"G",,5917
"01","443","S",,337,"G",,13052
"01","443","P",,22,"G",,922
"01","4431","-",,407,"G",,19891
"01","4431","C",,48,"G",,5917
"01","4431","S",,337,"G",,13052
"01","4431","P",,22,"G",,922
"01","44311","-",,274,"G",,14651
"01","44311","C",,30,"G",,4730
"01","44311","S",,233,"G",,9322
"01","44311","P",,11,"G",,599
"01","443111","-",,84,"G",,4891
"01","443111","C",,7,"H",,1594
"01","443111","S",,75,"H",,3195
"01","443111","P","D",0,"D","D",0
"01","443112","-",,190,"G",,9760
"01","443112","C",,23,"G",,3136
"01","443112","S",,158,"G",,6127
"01","443112","P",,9,"H",,497
"01","44312","-",,115,"G",,4897
"01","44312","C",,17,"H",,1041
"01","44312","S",,87,"G",,3533
"01","44312","P",,11,"G",,323
"01","44313","-",,18,"H",,343
"01","44313","C","D",0,"D","D",0
"01","44313","S",,17,"G",,197
"01","444","-",,737,"G",,45634
"01","444","C",,70,"G",,7310
"01","444","S",,623,"G",,30941
"01","444","P",,44,"G",,7383
"01","4441","-",,458,"G",,32692
"01","4441","C",,51,"G",,6053
"01","4441","S",,375,"G",,21185
"01","4441","P",,32,"G",,5454
"01","44411","-",,37,"G",,1993
"01","44411","C","D",0,"D","D",0
"01","44411","S",,30,"G",,1051
"01","44411","P","D",0,"D","D",0
"01","44412","-",,37,"G",,699
"01","44412","C","D",0,"D","D",0
"01","44412","S",,34,"H",,464
"01","44412","P","D",0,"D","D",0
"01","44413","-",,93,"G",,8849
"01","44413","C",,16,"H",,2100
"01","44413","S",,68,"G",,4806
"01","44413","P",,9,"G",,1943
"01","44419","-",,291,"G",,21151
"01","44419","C",,29,"G",,3625
"01","44419","S",,243,"G",,14864
"01","44419","P",,19,"H",,2662
"01","4442","-",,279,"G",,12942
"01","4442","C",,19,"H",,1257
"01","4442","S",,248,"G",,9756
"01","4442","P",,12,"G",,1929
"01","445","-",,1517,"G",,127842
"01","445","C",,122,"G",,18985
"01","445","S",,1298,"G",,90138
"01","445","P",,97,"G",,18719
"01","4451","-",,713,"G",,77764
"01","4451","C",,60,"G",,12814
"01","4451","S",,605,"G",,51491
"01","4451","P",,48,"G",,13459
"01","4452","-",,681,"G",,35301
"01","4452","C",,49,"G",,2811
"01","4452","S",,598,"G",,30259
"01","4452","P",,34,"G",,2231
"01","44521","-",,66,"G",,4833
"01","44521","C",,3,"H",,154
"01","44521","S",,62,"G",,4677
"01","44521","P","D",0,"D","D",0
"01","44522","-",,67,"H",,5484
"01","44522","C",,4,"H",,353
"01","44522","S",,58,"H",,4461
"01","44522","P","D",0,"D","D",0
"01","44523","-",,158,"G",,9327
"01","44523","C","D",0,"D","D",0
"01","44523","S",,152,"G",,8770
"01","44523","P",,3,"H",,155
"01","44529","-",,390,"G",,15657
"01","44529","C",,39,"G",,1902
"01","44529","S",,326,"G",,12351
"01","44529","P",,25,"G",,1404
"01","4453","-",,123,"G",,14777
"01","4453","C",,13,"H",,3360
"01","4453","S",,95,"G",,8388
"01","4453","P",,15,"G",,3029
"01","44531","-",,123,"G",,14777
"01","44531","C",,13,"H",,3360
"01","44531","S",,95,"G",,8388
"01","44531","P",,15,"G",,3029
"01","446","-",,2158,"G",,44385
"01","446","C",,49,"G",,5764
"01","446","S",,2090,"G",,36261
"01","446","P",,19,"G",,2360
"01","4461","-",,2158,"G",,44385
"01","4461","C",,49,"G",,5764
"01","4461","S",,2090,"G",,36261
"01","4461","P",,19,"G",,2360
"01","44611","-",,102,"G",,3214
"01","44611","C",,6,"H",,1073
"01","44611","S",,94,"H",,1720
"01","44611","P","D",0,"D","D",0
"01","44612","-",,1492,"G",,21721
"01","44612","C",,9,"H",,973
"01","44612","S",,1480,"G",,20317
"01","44612","P","D",0,"D","D",0
"01","44613","-",,26,"G",,1656
"01","44613","C","D",0,"D","D",0
"01","44613","S",,22,"G",,1341
"01","44613","P","D",0,"D","D",0
"01","44619","-",,538,"G",,17794
"01","44619","C",,31,"G",,3469
"01","44619","S",,494,"G",,12883
"01","44619","P",,13,"H",,1442
"01","447","-",,389,"G",,65373
"01","447","C",,52,"G",,12877
"01","447","S",,316,"G",,44972
"01","447","P",,21,"G",,7524
"01","4471","-",,389,"G",,65373
"01","4471","C",,52,"G",,12877
"01","4471","S",,316,"G",,44972
"01","4471","P",,21,"G",,7524
"01","448","-",,2096,"G",,74118
"01","448","C",,90,"G",,7519
"01","448","S",,1895,"G",,55031
"01","448","P",,111,"G",,11568
"01","4481","-",,1480,"G",,53770
"01","4481","C",,66,"G",,5597
"01","4481","S",,1325,"G",,38970
"01","4481","P",,89,"G",,9203
"01","44811","-",,57,"G",,3069
"01","44811","C","D",0,"D","D",0
"01","44811","S",,49,"G",,1097
"01","44811","P",,5,"G",,1266
"01","44812","-",,262,"G",,12682
"01","44812","C",,15,"H",,995
"01","44812","S",,232,"G",,9666
"01","44812","P",,15,"H",,2021
"01","44813","-",,196,"G",,7633
"01","44813","C","D",0,"D","D",0
"01","44813","S",,170,"H",,5393
"01","44813","P",,20,"G",,1748
"01","44814","-",,262,"G",,7541
"01","44814","C",,8,"G",,707
"01","44814","S",,246,"G",,6275
"01","44814","P",,8,"G",,559
"01","44815","-",,314,"G",,8569
"01","44815","C",,8,"G",,416
"01","44815","S",,295,"G",,7608
"01","44815","P",,11,"H",,545
"01","44819","-",,389,"G",,14276
"01","44819","C",,26,"G",,2281
"01","44819","S",,333,"G",,8931
"01","44819","P",,30,"G",,3064
"01","4482","-",,69,"G",,2411
