Year,ST,CO,VMT
2016,20,39,24545306.88
2016,20,41,157872851.9
2016,20,43,55522957.62
2016,20,45,429029324.8
2016,20,47,41066158.92
2016,20,49,0
2016,20,51,247084089.2
2016,20,53,144368821.5
2016,20,55,109197747
2016,20,57,161804914.4
2016,20,59,233658207.9
2016,20,61,237896818.7
2016,20,63,159876976.4
2016,20,65,0
2016,20,67,0
2016,20,69,48735429.06
2016,20,71,0
2016,20,73,76690834.8
2016,20,75,18448757.04
2016,20,77,0
2016,20,79,214309151.6
2016,20,81,33918892.62
2016,20,83,0
2016,20,85,36061881.18
2016,20,87,81577886.4
2016,20,89,14844418.32
2016,20,91,2431075096
2016,20,93,25445505.84
2016,20,95,7030453.74
2016,20,97,65495842.74
2016,20,99,66032786.7
2016,20,101,0
2016,20,103,296104936.1
2016,20,105,42511851.6
2016,20,107,0
2016,20,109,30055023.3
2016,20,111,274717009.5
2016,20,113,212989088.4
2016,20,115,51598497
2016,20,117,61336585.8
2016,20,119,54743615.52
2016,20,121,66323856.98
2016,20,123,30943016.16
2016,20,125,165083260.6
2016,20,127,11334339.24
2016,20,129,0
2016,20,131,34265842.32
2016,20,133,43543841.67
2016,20,135,0
2016,20,137,23417294.88
2016,20,139,126205185.1
2016,20,141,9459709.2
2016,20,143,0
2016,20,145,30955467.48
2016,20,147,36617388.66
2016,20,149,92804028.72
2016,20,151,86581530.96
2016,20,153,0
2016,20,155,138480554.2
2016,20,157,21222389.22
2016,20,159,57782154.84
2016,20,161,248729764.3
2016,20,163,30441764.52
2016,20,165,26925723.3
2016,20,167,146910353.3
2016,20,169,332689461.6
2016,20,171,46620882.36
2016,20,173,1676426655
2016,20,175,96818049.54
2016,20,177,793987853.9
2016,20,179,7960166.94
2016,20,181,136244067.3
2016,20,183,25176177.42
2016,20,185,51440399.64
2016,20,187,0
2016,20,189,0
2016,20,191,252414311.2
2016,20,193,188732877.6
2016,20,195,135033297.6
2016,20,197,185395699.1
2016,20,199,0
2016,20,201,17801006.58
2016,20,203,0
2016,20,205,49075629.72
2016,20,207,35748094.74
2016,20,209,1255178770
2016,21,1,24038862.8
2016,21,3,45610249.85
2016,21,5,74613159.31
2016,21,7,40100073.01
2016,21,9,145705228.4
2016,21,11,99048221.5
2016,21,13,154930530
2016,21,15,1029760550
2016,21,17,81180986.85
2016,21,19,257696411.5
2016,21,21,87366424.91
2016,21,23,46178381.04
2016,21,25,54850894.51
2016,21,27,0
2016,21,29,553064739.3
2016,21,31,0
2016,21,33,80856697.67
2016,21,35,107516147.2
2016,21,37,489802312
2016,21,39,0
2016,21,41,179194970.7
2016,21,43,225640134.2
2016,21,45,44064108.11
2016,21,47,551399612.8
2016,21,49,234796404.9
2016,21,51,57194660.42
2016,21,53,22880301.51
2016,21,55,0
2016,21,57,0
2016,21,59,233729119.3
2016,21,61,36853206.12
2016,21,63,0
2016,21,65,0
2016,21,67,2004266585
2016,21,69,5976286.998
2016,21,71,224814549.9
2016,21,73,366152340.2
2016,21,75,0
2016,21,77,214618765.3
2016,21,79,79361477.51
2016,21,81,401145976.4
2016,21,83,112139939.7
2016,21,85,0
2016,21,87,0
2016,21,89,145836593.9
2016,21,91,0
2016,21,93,627409357.4
2016,21,95,80785484.69
2016,21,97,0
2016,21,99,288740056.8
2016,21,101,230697761.6
2016,21,103,176226697.9
2016,21,105,0
2016,21,107,201540409.3
2016,21,109,0
2016,21,111,4615932712
2016,21,113,149864345.9
2016,21,115,76281269.45
2016,21,117,904140735.3
2016,21,119,67992543.22
2016,21,121,168480106.2
2016,21,123,60523494.11
2016,21,125,541862124.5
2016,21,127,89658808.09
2016,21,129,0
2016,21,131,27907256.98
2016,21,133,99393735.01
2016,21,135,61380458.59
2016,21,137,122156939.6
2016,21,139,49644521.09
2016,21,141,103945447.2
2016,21,143,214725614.2
2016,21,145,429666812.3
2016,21,147,68251478.33
2016,21,149,0
2016,21,151,648221371.3
2016,21,153,28090755.1
2016,21,155,46017005.05
2016,21,157,187721243.4
2016,21,159,0
2016,21,161,83617558.28
2016,21,163,23974082.26
2016,21,165,0
2016,21,167,86574388.47
2016,21,169,0
2016,21,171,0
2016,21,173,101019563
2016,21,175,0
2016,21,177,0
2016,21,179,0
2016,21,181,20074667.39
2016,21,183,0
2016,21,185,267240196.8
2016,21,187,0
2016,21,189,0
2016,21,191,12542608.45
2016,21,193,159682555.4
2016,21,195,351095464.4
2016,21,197,0
2016,21,199,305871234
2016,21,201,1838146.062
2016,21,203,410677662.5
2016,21,205,113083115.5
2016,21,207,44215082.38
2016,21,209,542586185.6
2016,21,211,378272881.5
2016,21,213,232213514.7
2016,21,215,0
2016,21,217,68357514.02
2016,21,219,39402205.8
2016,21,221,154031739.4
2016,21,223,8655310.008
2016,21,225,0
2016,21,227,854115801.5
2016,21,229,40160647.84
2016,21,231,0
2016,21,233,47690725.25
2016,21,235,376773036.5
2016,21,237,16548276.05
2016,21,239,217015580.3
2016,22,1,440553870.6
2016,22,3,152307240
2016,22,5,914030063.4
2016,22,7,17251007.4
2016,22,9,46242819
2016,22,11,182111205.6
2016,22,13,199286853.6
2016,22,15,804628088.4
2016,22,17,1634110531
2016,22,19,1445852549
2016,22,21,71775491.4
2016,22,23,0
2016,22,25,59226376.2
2016,22,27,0
2016,22,29,140861029.2
2016,22,31,393103105.2
2016,22,33,2630786085
