Fips_Txt,True_Fips,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
05091,5091,1183588,1179820,1216854,1298550,1300709,1271129,1264407,1146808,1131193,1249311,1283260,1249105,1200278,1215190,1256728,1218039,1213307,1209532,1234444,1202132,1222230
05093,5093,1979592,2058576,1978923,2010564,1865026,2021949,1983455,1849644,1548083,1692928,2132151,2187213,2193305,2016951,1976073,2148298,2205854,2405465,2661747,2792684,2794555
05095,5095,200680,191272,221001,206347,217053,228566,194806,200602,198866,221266,239393,220349,249375,196209,164998,158497,169419,165946,169555,190894,178275
05097,5097,149600,157882,153546,162755,169705,164110,166751,153525,152483,151866,147120,159595,155642,154627,144134,132962,131555,133942,126042,124490,127442
05099,5099,192416,202897,209860,240216,267852,250917,229540,193197,167912,179690,200541,231472,240641,244239,252303,248342,243242,246433,223300,218472,223656
05101,5101,92356,102294,101995,105024,119277,123161,113012,93882,89351,99359,99607,98268,97510,97634,101034,102373,111909,90519,92860,91166,91809
05103,5103,542388,542281,553592,566972,580773,604927,601419,598510,584104,607870,607398,606308,623789,623200,597944,578374,566880,576810,564202,539640,557656
05105,5105,119216,125334,124420,135637,135193,135929,139091,143113,142843,140232,135968,130396,137383,131517,149290,146889,143873,145679,137304,133909,143465
05107,5107,555298,527874,580262,569801,544344,541745,544923,503443,508854,491935,551416,506618,539582,450219,433601,429665,460496,448511,477389,492480,493915
05109,5109,231426,239553,234558,251501,274259,264069,270663,257862,247661,250096,220100,210180,210852,241918,244755,233900,230075,234030,213123,215529,236014
05111,5111,521400,501171,596208,616554,618203,648891,566247,597791,605157,581534,539110,548430,578236,510509,494206,495718,555163,531608,542311,557726,555463
05113,5113,454701,447985,442698,454974,477915,455889,450257,457441,422898,437917,424601,458802,464539,479177,494364,477679,487866,509695,490239,478389,548628
05115,5115,2291794,2274484,2328283,2423466,2548811,2560314,2555933,2582618,2481073,2637315,2627821,2604152,2583789,2595438,2657193,2635381,2596628,2580190,2593261,2613344,2650885
05117,5117,165220,155985,198722,203515,188115,197489,172134,207503,269217,217654,169338,180322,207325,206708,172854,176082,201357,182969,169562,205713,186113
05119,5119,21456098,22041593,23076359,23803524,25313059,25823758,26563102,26000734,24991476,24522986,24949977,24807239,24914104,25120461,25723488,25852083,25616166,25913774,26513306,26348514,27383801
05121,5121,338499,373599,414517,433095,407966,402796,384985,370436,374810,369515,362282,372023,382016,411842,370316,391875,422532,441883,452387,455528,493477
